	open	ma5	close	volume	ochl_1	ochl_2	ochl_3	ochl_4	ochl_5
929	1322.652	1329.2526	1331.201	5205636300.0	1366.097	1373.674	1317.654	1308.242	1307.697
930	1331.686	1314.0194	1335.523	6182328700.0	1331.201	1366.097	1373.674	1317.654	1308.242
931	1368.134	1300.1014	1331.127	7965817000.0	1335.523	1331.201	1366.097	1373.674	1317.654
932	1312.137	1284.1982	1352.155	7353400500.0	1331.127	1335.523	1331.201	1366.097	1373.674
933	1255.234	1257.4562	1296.257	5492033100.0	1352.155	1331.127	1335.523	1331.201	1366.097
934	1267.219	1232.6742	1255.035	6113372500.0	1296.257	1352.155	1331.127	1335.523	1331.201
935	1257.984	1212.7208	1265.933	5566704300.0	1255.035	1296.257	1352.155	1331.127	1335.523
936	1226.315	1190.6794	1251.611	5599386100.0	1265.933	1255.035	1296.257	1352.155	1331.127
937	1179.581	1168.7432	1218.445	4491282100.0	1251.611	1265.933	1255.035	1296.257	1352.155
938	1143.587	1153.5938	1172.347	4080185800.0	1218.445	1251.611	1265.933	1255.035	1296.257
939	1157.379	1148.956	1155.268	3198045100.0	1172.347	1218.445	1251.611	1265.933	1255.035
940	1142.902	1144.7786	1155.726	4182430100.0	1155.268	1172.347	1218.445	1251.611	1265.933
941	1139.495	1141.2816	1141.93	3861112500.0	1155.726	1155.268	1172.347	1218.445	1251.611
942	1156.908	1139.1518	1142.698	4593621900.0	1141.93	1155.726	1155.268	1172.347	1218.445
943	1133.205	1135.495	1149.158	4077291000.0	1142.698	1141.93	1155.726	1155.268	1172.347
944	1139.642	1129.3848	1134.381	3788565100.0	1149.158	1142.698	1141.93	1155.726	1155.268
945	1135.614	1121.2936	1138.241	3432289800.0	1134.381	1149.158	1142.698	1141.93	1155.726
946	1127.506	1117.06	1131.281	3231722300.0	1138.241	1134.381	1149.158	1142.698	1141.93
947	1120.186	1115.4654	1124.414	3570454800.0	1131.281	1138.241	1134.381	1149.158	1142.698
948	1091.689	1114.1646	1118.607	3352796200.0	1124.414	1131.281	1138.241	1134.381	1149.158
949	1116.837	1111.074	1093.925	3382414600.0	1118.607	1124.414	1131.281	1138.241	1134.381
950	1123.782	1112.9364	1117.073	3033384500.0	1093.925	1118.607	1124.414	1131.281	1138.241
951	1120.163	1109.5158	1123.308	3560752000.0	1117.073	1093.925	1118.607	1124.414	1131.281
952	1104.321	1102.7284	1117.91	3206752000.0	1123.308	1117.073	1093.925	1118.607	1124.414
953	1102.944	1095.0108	1103.154	3257086000.0	1117.91	1123.308	1117.073	1093.925	1118.607
954	1102.543	1086.5976	1103.237	3616704900.0	1103.154	1117.91	1123.308	1117.073	1093.925
955	1091.175	1077.077	1099.97	3293691400.0	1103.237	1103.154	1117.91	1123.308	1117.073
956	1080.857	1070.1418	1089.371	3114875700.0	1099.97	1103.237	1103.154	1117.91	1123.308
957	1061.962	1063.464	1079.322	2772976100.0	1089.371	1099.97	1103.237	1103.154	1117.91
958	1053.854	1057.741	1061.088	2227619000.0	1079.322	1089.371	1099.97	1103.237	1103.154
959	1065.843	1054.0436	1055.634	2201249400.0	1061.088	1079.322	1089.371	1099.97	1103.237
960	1058.738	1052.6242	1065.294	3052634500.0	1055.634	1061.088	1079.322	1089.371	1099.97
961	1050.068	1049.0986	1055.982	2227399900.0	1065.294	1055.634	1061.088	1079.322	1089.371
962	1042.629	1046.0536	1050.707	1713407000.0	1055.982	1065.294	1055.634	1061.088	1079.322
963	1049.122	1043.444	1042.601	2009823700.0	1050.707	1055.982	1065.294	1055.634	1061.088
964	1047.349	1039.7268	1048.537	2046788500.0	1042.601	1050.707	1055.982	1065.294	1055.634
965	1041.138	1035.5426	1047.666	1864057500.0	1048.537	1042.601	1050.707	1055.982	1065.294
966	1037.949	1031.801	1040.757	1907766200.0	1047.666	1048.537	1042.601	1050.707	1055.982
967	1024.502	1027.304	1037.659	1538991200.0	1040.757	1047.666	1048.537	1042.601	1050.707
968	1027.637	1023.745	1024.015	1500192400.0	1037.659	1040.757	1047.666	1048.537	1042.601
