date	open	ma5	high	close	low	volume
2015-08-12	4025.674	3981.191	4078.03	4016.126	4015.355	255146192.0
2015-08-11	4083.589	3951.346	4110.133	4066.669	4042.004	322034176.0
2015-08-10	3947.472	3927.643	4101.731	4084.365	3932.842	306780544.0
2015-08-07	3866.43	3876.617	3926.649	3906.945	3857.908	183349152.0
2015-08-06	3802.928	3858.568	3888.693	3831.852	3793.237	147278688.0
2015-08-05	3937.623	3855.28	3962.277	3866.9	3858.66	200484272.0
2015-08-04	3827.373	3867.976	3948.449	3948.155	3801.028	220236560.0
2015-08-03	3766.072	3840.564	3829.235	3829.235	3742.578	245805024.0
2015-07-31	3777.155	3838.463	3863.624	3816.699	3757.989	222376768.0
2015-07-30	3915.78	3910.379	3968.534	3815.412	3802.882	271548672.0
2015-07-29	3839.959	3997.457	3934.003	3930.379	3769.189	276972832.0
2015-07-28	3690.974	4042.814	3883.446	3811.093	3627.421	383527232.0
2015-07-27	4097.796	4113.796	4156.313	3818.731	3817.169	365054496.0
2015-07-24	4255.198	4182.172	4299.65	4176.279	4154.617	392045376.0
2015-07-23	4158.932	4177.216	4262.062	4250.805	4148.824	354471744.0
2015-07-22	4148.56	4126.526	4187.431	4157.16	4094.712	318945984.0
2015-07-21	4109.761	4088.446	4201.482	4166.006	4081.704	318374944.0
2015-07-20	4157.06	4077.674	4221.693	4160.612	4106.389	352673472.0
2015-07-17	4023.757	4087.914	4190.186	4151.496	4000.231	331107136.0
2015-07-16	3949.639	4078.926	4067.022	3997.356	3856.321	330531360.0
2015-07-15	4068.88	4058.98	4114.243	3966.759	3899.508	421956352.0
2015-07-14	4178.63	3998.236	4258.513	4112.149	4062.5	454422016.0
2015-07-13	4132.231	3961.407	4278.161	4211.812	4072.43	502092192.0
2015-07-10	3916.272	3918.752	4179.111	4106.556	3887.551	500701792.0
2015-07-09	3621.68	3874.624	3930.264	3897.626	3537.826	503870624.0
2015-07-08	3651.06	3916.698	3762.622	3663.038	3612.254	581467072.0
2015-07-07	3877.854	4034.695	3960.636	3928.003	3743.624	679385024.0
2015-07-06	4218.266	4143.694	4218.266	3998.537	3832.468	648094528.0
2015-07-03	4017.202	4182.296	4164.629	3885.917	3785.902	429300864.0
2015-07-02	4287.734	4272.352	4312.19	4107.996	4000.061	457062208.0
2015-07-01	4408.984	4392.056	4526.127	4253.021	4235.696	431721408.0
2015-06-30	4161.067	4517.477	4475.767	4472.998	4016.013	527045280.0
2015-06-29	4446.842	4580.095	4451.166	4191.549	4000.926	525662496.0
2015-06-26	4573.872	4669.196	4650.186	4336.195	4278.675	446639776.0
2015-06-25	4906.242	4788.067	4919.263	4706.516	4667.224	446135968.0
2015-06-24	4811.595	4874.53	4883.732	4880.126	4744.306	434638720.0
2015-06-23	4641.425	4911.469	4786.955	4786.091	4455.33	365087936.0
2015-06-19	4847.057	4998.484	4910.45	4637.052	4634.691	358104736.0
2015-06-18	5107.695	5138.097	5121.218	4930.549	4926.429	364395808.0
2015-06-17	5072.306	5213.305	5158.367	5138.831	4949.293	397124192.0
2015-06-16	5165.025	5247.361	5204.303	5064.821	5015.265	411675648.0
2015-06-15	5354.014	5297.889	5362.452	5221.167	5207.308	475745696.0
2015-06-12	5329.278	5324.406	5351.648	5335.115	5283.086	430131392.0
2015-06-11	5305.141	5303.493	5329.295	5306.59	5248.163	392338752.0
2015-06-10	5254.304	5278.458	5374.83	5309.112	5209.68	442165664.0
2015-06-09	5379.47	5245.354	5380.426	5317.461	5251.208	570427264.0
2015-06-08	5259.408	5214.236	5370.609	5353.751	5202.595	637313216.0
2015-06-05	5254.905	5158.721	5288.34	5230.552	5104.178	545961216.0
2015-06-04	5156.012	5080.777	5194.233	5181.416	4863.465	482767264.0
2015-06-03	5176.597	5011.295	5186.967	5143.59	5059.495	414258272.0
2015-06-02	5091.272	5018.864	5162.556	5161.87	5047.081	412973184.0
2015-06-01	4862.756	5026.273	5079.319	5076.179	4835.774	417503744.0
2015-05-29	4839.53	5030.937	4924.303	4840.829	4665.521	427878848.0
